,國文,英文,數學,社會,自然
0,11,15,10,15,10
1,12,13,6,9,14
2,6,8,13,10,9
3,10,8,10,8,8
4,8,12,13,13,9
5,11,12,14,6,9
6,14,13,7,7,13
7,10,13,13,7,10
8,9,7,9,10,11
9,7,9,11,14,14
10,7,7,12,11,9
11,7,13,14,9,9
12,14,11,11,7,15
13,14,11,6,10,11
14,13,11,10,11,10
15,9,15,15,13,9
16,9,12,9,11,13
17,15,6,14,7,7
18,11,12,13,6,9
19,10,14,9,10,6
20,13,13,14,13,15
21,6,11,7,9,10
22,13,6,14,11,7
23,14,12,15,8,13
24,9,13,7,13,12
25,14,13,15,8,9
26,9,6,8,15,13
27,11,8,12,6,8
28,6,12,6,14,6
29,14,9,12,6,13
30,6,12,9,14,8
31,10,6,8,9,14
32,8,13,12,7,11
33,15,9,11,9,7
34,10,6,13,8,10
35,7,6,14,8,10
36,6,11,14,12,14
37,15,15,13,10,12
38,13,11,6,11,7
39,14,10,9,13,6
40,13,10,12,10,13
41,8,13,15,8,8
42,14,6,6,10,10
43,15,13,15,8,9
44,14,13,14,9,6
45,15,13,13,9,7
46,12,7,8,15,9
47,6,6,9,14,9
48,10,15,13,13,6
49,6,14,12,11,13
50,9,6,11,13,9
51,14,14,15,8,12
52,14,14,13,13,13
53,11,10,11,12,12
54,10,14,11,7,8
55,11,13,13,13,13
56,13,6,10,7,15
57,6,8,15,13,9
58,13,12,6,9,14
59,11,15,6,7,14
60,7,6,13,15,8
61,12,8,8,12,9
62,15,15,7,7,11
63,7,15,8,15,6
64,13,7,8,10,11
65,15,10,6,9,11
66,14,9,13,15,13
67,6,12,6,6,8
68,14,14,13,9,7
69,7,13,7,15,6
70,11,14,14,15,13
71,10,12,10,7,10
72,9,9,8,9,10
73,6,15,11,6,11
74,14,10,15,14,14
75,6,7,10,14,14
76,10,14,13,7,11
77,7,6,13,7,11
78,15,11,12,6,9
79,12,7,11,11,8
80,13,9,13,10,15
81,15,11,10,12,8
82,9,11,14,10,11
83,15,6,14,9,7
84,8,9,8,9,8
85,11,7,13,7,6
86,7,8,15,10,13
87,13,13,11,10,15
88,6,8,9,11,13
89,11,14,7,6,10
90,10,10,7,9,12
91,9,6,13,12,6
92,13,14,12,10,6
93,9,12,11,14,8
94,12,9,7,9,6
95,6,15,7,14,8
96,14,14,15,6,10
97,15,12,8,14,13
98,10,15,12,11,8
99,15,7,14,7,12
