國文,英文,數學,社會,自然
8,9,13,8,15
9,7,6,6,14
14,12,12,9,6
9,12,7,14,13
6,9,12,13,7
6,8,15,14,10
13,10,6,15,8
11,15,10,9,9
15,14,12,8,14
6,12,15,8,12
15,11,14,14,14
13,6,6,12,8
6,12,13,6,8
6,10,8,15,14
13,7,13,9,11
6,14,8,8,15
9,11,12,12,15
13,7,10,7,12
14,9,14,14,14
8,15,10,13,14
13,10,12,14,14
15,14,15,12,11
9,15,14,13,12
15,12,13,6,10
8,14,7,9,8
6,11,12,12,11
11,6,11,10,15
11,14,14,6,10
13,15,9,14,9
7,13,13,7,9
8,7,15,12,9
9,14,13,10,9
8,10,14,9,6
12,9,8,11,9
10,9,9,14,9
11,12,13,11,15
10,6,12,7,6
6,14,13,14,10
10,6,10,7,12
10,8,13,8,14
11,8,6,7,9
6,8,13,15,9
15,7,15,8,12
13,9,8,15,6
13,8,11,10,14
15,12,7,10,7
11,10,10,9,11
12,14,6,8,12
8,11,10,6,13
6,13,6,9,10
14,8,8,9,12
10,15,13,8,13
6,13,12,8,8
11,7,10,13,6
12,12,9,14,10
10,15,11,8,10
6,6,14,12,9
13,11,13,13,6
9,8,10,14,15
6,7,8,14,9
12,15,8,12,14
6,9,14,14,9
14,10,12,10,6
12,15,13,7,12
13,9,7,7,15
8,15,14,9,7
12,7,14,13,12
10,10,11,14,11
12,10,13,12,6
10,13,8,10,9
7,15,15,15,7
9,7,12,15,9
9,6,13,6,11
12,14,11,10,15
15,15,14,7,15
11,8,14,8,12
10,10,6,6,14
13,14,9,14,13
13,6,8,8,13
12,10,8,9,6
15,14,12,7,6
11,11,11,10,6
8,15,6,8,15
14,13,8,11,13
11,7,9,7,14
7,10,6,8,6
12,12,10,6,9
14,14,7,9,12
13,9,14,6,14
11,8,15,9,10
12,11,10,11,15
8,7,9,9,6
11,6,13,11,10
6,11,8,15,14
15,13,11,6,8
13,12,13,9,11
13,15,6,10,10
8,7,9,15,11
13,14,12,12,10
14,10,12,6,14
